"","sp","mating.system","weights_poly","M_mass","F_mass","overallmol","dnmito","dsmito","dndsmito","sprich","bea12","bea3","mprsds","mprsdn","mplds","mpldn"
"Circus","Circus","poly",0.285714286,429.875,580.75,0.044802,0.0543747917216796,0.152469796232009,0.356626643869446,14,0.00448052347366948,0.897795158897749,0.746169944539548,0.144913225155184,1.08778160108603,0.922639829891277
"Buteo","Buteo","poly",0.125,541.6428571,660.0285714,0.057147,0.0297159438002025,0.109446752312862,0.271510512392887,56,0.00308780792906477,0.840328905301768,0.530818716646839,0.0914816079722992,0.88100090927408,0.682926609369807
"Polytelis","Polytelis","poly",1,141.2666667,149.8333333,0.028463,0.141922928525738,0.0927816865649892,1.52964376678288,3,0.00475742910378706,0.874348753311266,0.143262344522076,0.372922715531457,1.16657190265969,1.0150049912769
"Myiobius","Myiobius","poly",0.2,12,11.4,0.017354,0.0759662007638447,0.188875019851542,0.40220353556312,5,0.00419793839446303,0.880919258980377,0.75781686889035,0.194021353961142,0.937675742266948,0.852804086799479
"Ptilonorhynchus","Ptilonorhynchus","poly",0.375,157.8333333,153.5,0.078094,0.0925289309483977,0.194506221511231,0.475711934710814,16,0.00466374487120909,0.831157201606219,0.933478325960498,0.289019468908519,0.872233543189287,0.680972755517626
"Lichenostomus","Lichenostomus","poly",0.6,24.00833333,21.025,0.099919,0.0373867488856111,0.1447501633342,0.258284674949156,20,0.00294760643125224,0.845148083432308,0.699330602316228,0.106208988950892,0.878323158922593,0.697093454193821
"Vireo","Vireo","poly",0.709677419,13.54,13.36666667,0.037983,0.0521068651160156,0.130591437111463,0.399006751656627,31,0.00302371888444298,0.896530475763028,1.14745334154695,0.324408771133811,0.95859956908181,0.790169479969929
"Epimachus","Epimachus","poly",0.411764706,154.5916667,124.7416667,0.018729,0.0677756383472149,0.195712377948934,0.346302257718718,34,0.00422701068667148,0.868896280496714,1.63447573510916,0.41502674743102,1.00202691737067,0.632487814548752
"Hirundo","Hirundo","poly",0.121212121,17.33333333,17.53333333,0.05196,0.0875580089367159,0.177847057805576,0.492321942331119,33,0.00502898586871723,0.915061906764405,2.68986748682517,1.04547907374262,1.09406045253007,1.19048115631362
"Tachycineta","Tachycineta","poly",0.111111111,21.7,20.7,0.061713,0.0702755690954594,0.146477563382484,0.479770194647184,9,0.00453379703367781,0.937841943002058,2.09814303379216,0.829307608967452,0.95645908383841,1.13107026564288
"Sylvia","Sylvia","poly",0.039215686,16.35,16.2,0.048397,0.140677690186703,0.21528037316993,0.653462682711257,51,0.00553409550688339,0.85180225057701,2.0584740374781,1.08878956133229,0.928246392246231,1.04341724436714
"Troglodytes","Troglodytes","poly",0.266666667,9.95,9.225,0.063401,0.0497317376688101,0.123511467657427,0.402648746809053,15,0.00348320469058249,0.867436664107308,1.4222426579915,0.318307351706215,0.873474374450543,0.875361672018371
"Sturnus","Sturnus","poly",0.125,81.15,72.6,0.003617,0.0417987697137648,0.137481208331173,0.304032603591012,16,0.00319428037924233,0.885277186687418,2.06038452119789,0.488311944017582,1.01786265351505,0.997995289879658
"Oenanthe","Oenanthe","poly",0.024390244,24.1,23.8,0.022534,0.049605319697439,0.134201833890825,0.36963220441379,41,0.00392326700108965,0.873798207410114,1.98674271009948,0.58261807175301,1.07712850813025,1.17933151094574
"Euplectes","Euplectes","poly",0.058823529,25.5,20.7,4e-06,0.0357208032359078,0.145958247577146,0.244733023510902,17,0.00337028876484989,0.919863609555872,2.21403498712812,0.318982352831338,0.972741073364777,0.950716226029118
"Lonchura","Lonchura","poly",0.170731707,11.975,11.975,0.041553,0.0545368781500189,0.147396050425372,0.37000230326817,41,0.00394247719968949,0.911671959704812,2.20995166161247,0.656978804687023,1.14568265680618,0.917768096636084
"Calcarius","Calcarius","poly",1,24.525,23.075,0.030144,0.0257176947267982,0.121783043193259,0.211176318578166,4,0.00363326461015591,0.875372874861352,1.37455947968497,0.187783955338172,1.00081449425909,0.90295409046952
"Myioborus","Myioborus","poly",0.125,9.35,9.45,0.05054,0.0308085280594514,0.0983995785755017,0.313096138270674,16,0.00311097732232145,0.904465067797799,2.54289485456267,0.606688423266697,0.981019649686085,1.22436774275637
"Spizella","Spizella","poly",0.857142857,12.61666667,12.65,0.025991,0.0558310875644046,0.11657118473522,0.478944154948922,7,0.00334136492807247,0.921563816090078,5.21696812994734,2.37517298934519,0.822342979811151,1.06063626559809
"Zonotrichia","Zonotrichia","poly",1,29.4,27.64,0.096385,0.0172168381175005,0.0821306429198039,0.209627460658159,5,0.00288106343349687,0.902143140222985,3.7095568867861,0.786567810421849,0.942452746830518,0.699518854666272
"Agelaius","Agelaius","poly",0.4,62.4,42.55,0.033326,0.0202935092544534,0.111523838149465,0.181965663944025,5,0.00241703143393429,0.895563661065786,3.46960767606317,0.627016732824963,1.06066504920509,0.782008395417132
"Passerina","Passerina","poly",0.222222222,22.35,20.425,4e-06,0.04290832797064,0.143750038507768,0.298492636357251,18,0.00390482577747238,0.827504081768236,2.80782150360348,0.702295992597063,1.01627979641807,0.855689102346683
"Apteryx","Apteryx","mono",0.75,1984.333333,2385.333333,0.017488,0.112241380646709,0.176370895320108,0.636394006182224,4,0.00560396762962266,0.854438537824093,0.364677964626477,0.213781665583205,0.948367212249275,1.41257493686295
"Stictonetta","Stictonetta","mono",0.5,969,842,0.104085,0.0495506903959164,0.147552824648334,0.335816616957431,2,0.00369115850200783,0.865793984193583,0.822958526769029,0.14661960290893,1.01279911296772,1.02817056375157
"Aythya","Aythya","mono",0.4,794.5,743.2833333,0.041587,0.025801927363344,0.114553308828469,0.22523947694937,15,0.00271606549522082,0.879926659662864,0.64751279688291,0.0749172445716001,0.94619610729246,0.832982939623216
"Leipoa","Leipoa","mono",1,2040,1830,0.022612,0.0899179541128472,0.208337522153218,0.431597501897515,1,0.00536881728541913,0.902727750977169,0.987565602456843,0.301926952327212,1.26478816464311,1.30590537425072
"Crax","Crax","mono",0.115384615,1735.666667,1537.333333,0.064534,0.0633328776638752,0.141349651711588,0.448058250565063,26,0.00473366076782858,0.844727301275535,0.692423468120375,0.203361506700505,1.10047466918816,0.959220918645366
"Ardea","Ardea","mono",0.193548387,713.2444444,772.27,0.106649,0.0925530608584141,0.190559134901221,0.485692070896472,62,0.00283538638301302,0.833693209220315,0.446312065072787,0.163716774322589,1.07616917588578,1.18721901930167
"Charadrius","Charadrius","mono",0.40625,69.31666667,67.99166667,0.070918,0.0769357321430769,0.159302329966882,0.482954217675732,32,0.00283729234816711,0.838057175937043,0.568358946369251,0.190941220676762,1.02011849365489,1.66271027605435
"Attagis","Attagis","mono",0.5,222.5,218,0.070952,0.121445028921943,0.171172388449209,0.70948959713779,4,0.0055459625299778,0.923711422161128,1.51647541271943,0.912163140926003,0.940633405461578,1.19652643891465
"Arenaria","Arenaria","mono",0.5,108,113,0.085797,0.0595698189989353,0.127733774223824,0.466359186212984,2,0.00362724686639145,0.778484339679236,1.19328809675934,0.343844323581895,0.978276822839955,1.07199322321663
"Rissa","Rissa","mono",0.25,443,393,0.01736,0.0127488934270043,0.0733888308433499,0.173717080385395,4,0.00311750780249221,0.852704739976609,0.131531875810131,0.0520349676457402,0.924175287577196,0.838541981095131
"Accipiter","Accipiter","mono",0.094339623,335.4,586,0.053207,0.0634930695174935,0.12786183666155,0.496575609855811,53,0.00357204255290992,0.883356331992822,0.625741372575169,0.16921417420554,0.912218398913967,1.07736017010872
"Haliaeetus","Haliaeetus","mono",0.285714286,1182.5,1467.25,0.017485,0.057309348207745,0.139013268921492,0.4122581150157,14,0.00465263898122877,0.898684279166787,0.674216853825429,0.176428901640782,1.11899909072592,1.31707339063019
"Alisterus","Alisterus","mono",0.333333333,221.5,242.9,0.099614,0.137726786983929,0.0662855537027642,2.07777983724055,3,0.00491568683098926,0.85570028861133,0.102350196283082,0.36189675577442,0.833428097340315,0.984995008723105
"Onychorhynchus","Onychorhynchus","mono",0.25,18.6,15.1,0.025759,0.102190076720568,0.213982836735242,0.477562024504828,4,0.0049735977395653,0.866544677911566,0.85855611535308,0.260998402544229,1.06232425773305,1.14719591320052
"Ailuroedus","Ailuroedus","mono",0.666666667,214,197,0.067181,0.179226231644161,0.251489516740308,0.712658857383837,3,0.00786097104352188,0.918178701915233,1.20695374810827,0.559823503344688,1.12776645681071,1.31902724448237
"Manorina","Manorina","mono",0.4,57.42,47.46,0.06932,0.0698779188879469,0.184855544687343,0.378013648474193,15,0.0047860315325767,0.897924224598389,0.893091492471915,0.198510524084047,1.12167684107741,1.30290654580618
"Hylophilus","Hylophilus","mono",0.133333333,9.5,9.5,0.030764,0.0797809549956865,0.14187152098594,0.562346512120589,15,0.00399410859744297,0.876538654356446,1.2465668073376,0.496703102602838,1.04140043091819,1.20983052003007
"Manucodia","Manucodia","mono",0.333333333,205.5,157.5,0.010212,0.146538809419876,0.194920597186076,0.751787197122049,6,0.00507908990673919,0.892167395550053,1.62786324356427,0.897336077225518,0.997973082629328,1.36751218545125
"Petrochelidon","Petrochelidon","mono",0.666666667,498.445,411.99,0.078539,0.0595388324914065,0.147266709709366,0.404292542482329,3,0.00362274618980616,0.81126165799054,2.22735163137754,0.710918443677983,0.905939547469934,0.809518843686384
"Riparia","Riparia","mono",0.25,12.7,13.6,0.064597,0.0539882741513016,0.15981376858887,0.337819917695512,4,0.00368945252421495,0.943949532910148,2.28917069294251,0.63710457453397,1.04354091616159,0.868929734357123
"Zosterops","Zosterops","mono",0.007731959,11.83333333,11.8,0.099269,0.128970316775321,0.248562793834427,0.518864125985124,388,0.00649662226708816,0.895443883932331,2.37671484054569,0.998179131604479,1.07175360775377,0.956582755632859
"Thryothorus","Thryothorus","mono",0.024390244,20.3,18.3,0.096634,0.0638938396406025,0.159293549341777,0.401107514426171,41,0.00399670302670458,0.908125089948793,1.83427567750325,0.408951704478585,1.12652562554946,1.12463832798163
"Acridotheres","Acridotheres","mono",0.142857143,126.8,114.3,0.011194,0.0419666951889905,0.13265584376795,0.316357681629174,7,0.00303150126609246,0.802838817849951,1.98806840922968,0.490273724611104,0.982137346484953,1.00200471012034
"Saxicola","Saxicola","mono",0.272727273,15.06666667,15.6,0.009463,0.0345191512202574,0.114982609521189,0.300211930865043,11,0.00308488929624807,0.779151891023644,1.70221862571771,0.405429930603496,0.922871491869746,0.820668489054258
"Quelea","Quelea","mono",0.111111111,176.2,282.4,0.035126,0.0394242342798687,0.154138564562731,0.255771385906633,9,0.00404441516106215,0.859942265264367,2.33812189768322,0.352053533794138,1.02725892663522,1.04928377397088
"Taeniopygia","Taeniopygia","mono",0.6,11.53333333,11.8,0.103449,0.0643098726793336,0.10991089150961,0.58510918978135,10,0.00308816737600013,0.770449293548099,1.64792582040013,0.7747092374122,0.854317343193818,1.08223190336392
"Plectrophenax","Plectrophenax","mono",0.5,38.7,36,0.043927,0.0312457655382203,0.121584821464648,0.25698738676279,2,0.00361219954123036,0.877135999298635,1.37232216035875,0.228148498637484,0.999185505740909,1.09704590953048
"Basileuterus","Basileuterus","mono",0.2,13.275,13.275,0.066755,0.0195170840643919,0.102207164840878,0.190956124208876,25,0.00250419092852197,0.840212140878701,2.64129254754771,0.384334783373625,1.01898035031392,0.775632257243626
"Amphispiza","Amphispiza","mono",0.5,14.1,13.4,0.108864,0.0494473936176842,0.166938707358685,0.29620088953631,2,0.00386254674974327,0.946446439717458,7.4710908868522,2.10359709684612,1.17765702018885,0.939363734401913
"Junco","Junco","mono",0.25,18.9,19.2,0.057986,0.0320079626227578,0.092160626740156,0.347306260329623,4,0.0043851640668779,0.833219953067362,4.16257654220839,1.4623145611537,1.05754725316948,1.30048114533373
"Molothrus","Molothrus","mono",0.333333333,43.75,35.85,0.085778,0.0316074917408841,0.0987665607527074,0.320022196784023,6,0.00315940887011574,0.838441007394222,3.07271721465224,0.976589408744667,0.939334950794911,1.21799160458287
"Pheucticus","Pheucticus","mono",0.333333333,44.85,46.9,0.074013,0.0573811997397542,0.139144571843481,0.412385470590261,6,0.00442472699468271,0.801953028792789,2.71786446102909,0.939178675412737,0.983720203581932,1.14431089765332
