"","sp","mating.system","weights_poly","M_mass","F_mass","overallmol","dnmito","dsmito","dndsmito","sprich","bea12","bea3"
"Agelaius","Agelaius","poly",0.4,62.4,42.55,0.033326,0.014111232,0.113529412,0.124295826,5,0.00241703143393429,0.895563661065786
"Passerina","Passerina","poly",0.222222222,22.35,20.425,4e-06,0.043020196,0.141474075,0.304085369,18,0.00390482577747238,0.827504081768236
"Apteryx","Apteryx","mono",0.75,1984.333333,2385.333333,0.017488,0.104450309,0.184196587,0.567058873,4,0.00560396762962266,0.854438537824093
"Stictonetta","Stictonetta","mono",0.5,969,842,0.104085,0.049538609,0.144844622,0.342012067,2,0.00369115850200783,0.865793984193583
"Aythya","Aythya","mono",0.4,794.5,743.2833333,0.041587,0.024551211,0.109047138,0.225143103,15,0.00271606549522082,0.879926659662864
"Leipoa","Leipoa","mono",1,2040,1830,0.022612,0.088817472,0.200021027,0.444040676,1,0.00536881728541913,0.902727750977169
"Crax","Crax","mono",0.115384615,1735.666667,1537.333333,0.064534,0.066734423,0.141075351,0.473040987,26,0.00473366076782858,0.844727301275535
"Ardea","Ardea","mono",0.193548387,713.2444444,772.27,0.106649,0.079651897,0.178054682,0.44734514,62,0.00283538638301302,0.833693209220315
"Charadrius","Charadrius","mono",0.40625,69.31666667,67.99166667,0.070918,0.027981671,0.134929137,0.207380494,32,0.00283729234816711,0.838057175937043
"Attagis","Attagis","mono",0.5,222.5,218,0.070952,0.11400665,0.165731353,0.687900316,4,0.0055459625299778,0.923711422161128
"Arenaria","Arenaria","mono",0.5,108,113,0.085797,0.057738021,0.118564363,0.486976179,2,0.00362724686639145,0.778484339679236
"Rissa","Rissa","mono",0.25,443,393,0.01736,0.013130603,0.070727299,0.185651133,4,0.00311750780249221,0.852704739976609
"Accipiter","Accipiter","mono",0.094339623,335.4,586,0.053207,0.060219949,0.126097745,0.477565627,53,0.00357204255290992,0.883356331992822
"Haliaeetus","Haliaeetus","mono",0.285714286,1182.5,1467.25,0.017485,0.056152119,0.137893041,0.407215033,14,0.00465263898122877,0.898684279166787
"Alisterus","Alisterus","mono",0.333333333,221.5,242.9,0.099614,0.176313052,0.145796113,1.209312426,3,0.00491568683098926,0.85570028861133
"Onychorhynchus","Onychorhynchus","mono",0.25,18.6,15.1,0.025759,0.099300135,0.219625383,0.452134146,4,0.0049735977395653,0.866544677911566
"Ailuroedus","Ailuroedus","mono",0.666666667,214,197,0.067181,0.169882713,0.239303155,0.709905862,3,0.00786097104352188,0.918178701915233
"Manorina","Manorina","mono",0.4,57.42,47.46,0.06932,0.067117926,0.179539733,0.373833274,15,0.0047860315325767,0.897924224598389
"Hylophilus","Hylophilus","mono",0.133333333,9.5,9.5,0.030764,0.075833879,0.143246143,0.529395605,15,0.00399410859744297,0.876538654356446
"Manucodia","Manucodia","mono",0.333333333,205.5,157.5,0.010212,0.120106139,0.191187316,0.628211856,6,0.00507908990673919,0.892167395550053
"Petrochelidon","Petrochelidon","mono",0.666666667,498.445,411.99,0.078539,0.056335695,0.140051811,0.402248956,3,0.00362274618980616,0.81126165799054
"Riparia","Riparia","mono",0.25,12.7,13.6,0.064597,0.051715431,0.153595452,0.336698976,4,0.00368945252421495,0.943949532910148
"Zosterops","Zosterops","mono",0.007731959,11.83333333,11.8,0.099269,0.12909064,0.23428973,0.550987189,388,0.00649662226708816,0.895443883932331
"Thryothorus","Thryothorus","mono",0.024390244,20.3,18.3,0.096634,0.062831528,0.1519995,0.413366676,41,0.00399670302670458,0.908125089948793
"Acridotheres","Acridotheres","mono",0.142857143,126.8,114.3,0.011194,0.041724405,0.131147691,0.318148222,7,0.00303150126609246,0.802838817849951
"Saxicola","Saxicola","mono",0.272727273,15.06666667,15.6,0.009463,0.033566363,0.112402101,0.298627542,11,0.00308488929624807,0.779151891023644
"Quelea","Quelea","mono",0.111111111,176.2,282.4,0.035126,0.040067161,0.150516676,0.26619749,9,0.00404441516106215,0.859942265264367
"Taeniopygia","Taeniopygia","mono",0.6,11.53333333,11.8,0.103449,0.060304771,0.107282812,0.562110279,10,0.00308816737600013,0.770449293548099
"Plectrophenax","Plectrophenax","mono",0.5,38.7,36,0.043927,0.029574512,0.116388925,0.254100741,2,0.00361219954123036,0.877135999298635
"Basileuterus","Basileuterus","mono",0.2,13.275,13.275,0.066755,0.022988414,0.094436141,0.243428134,25,0.00250419092852197,0.840212140878701
"Amphispiza","Amphispiza","mono",0.5,14.1,13.4,0.108864,0.051011014,0.163555459,0.311888177,2,0.00386254674974327,0.946446439717458
"Junco","Junco","mono",0.25,18.9,19.2,0.057986,0.03013897,0.087356385,0.345011646,4,0.0043851640668779,0.833219953067362
"Molothrus","Molothrus","mono",0.333333333,43.75,35.85,0.085778,0.031879046,0.09095896,0.350477247,6,0.00315940887011574,0.838441007394222
"Pheucticus","Pheucticus","mono",0.333333333,44.85,46.9,0.074013,0.053372864,0.136838622,0.390042398,6,0.00442472699468271,0.801953028792789
