"","sp","mating.system","weights_poly","M_mass","F_mass","dnnuc","dsnuc","dndsnuc","sprich","bea12","bea3","nprsds","nprsdn","mplds","mpldn"
"Loboparadisea","Loboparadisea","poly",0.666666666666667,NA,NA,0.0239632377208389,0.0603515057983875,0.397061140460876,3,0.000586510365384498,0.70571004808303,0.228112970857892,0.0990183827441301,0.971209944680039,1.15403411157524
"Hirundo","Hirundo","poly",0.121212121212121,18.8,19.4,0.00359774919139676,0.0122296270600637,0.294183066558533,33,6.9078208772919e-05,0.727178438487369,0.0345422966765594,0.0127830018604207,0.712225988853328,1.23674074225328
"Sturnus","Sturnus","poly",0.125,81.15,72.6,0.00522492241911755,0.0164910916809688,0.316833022349107,16,8.98836147361851e-05,0.803779449127835,0.0739497558588713,0.0107933463926406,1.00659510755316,1.26220265476766
"Calcarius","Calcarius","poly",1,24.525,23.075,0.00413020642439595,0.0112930997674738,0.365728321668752,4,8.27474926249005e-05,0.756389880856578,0.0884993839493031,0.0212542624107385,0.568080544847746,0.802181326964035
"Passerina","Passerina","poly",0.166666666666667,20.0333333333333,18.0666666666667,0.0182511911573182,0.0284542453332355,0.641422429010977,18,0.000128050538781859,0.74385021345081,0.29614074183171,0.241065340641613,0.541648161455642,0.7470765064104
"Apus","Apus","mono",0.0186915887850467,39,40.3,0.0705939924654417,0.177644682046189,0.39738871804272,107,0.00124636831379702,0.874809328510959,0.352785623822543,0.115194890865143,1.11273843704301,0.961126483770746
"Charadrius","Charadrius","mono",0.375,68.3454545454545,66.1545454545455,0.00747302970032868,0.0258435550128157,0.289164153175631,32,0.000165180917851368,0.712928714566914,0.0518554737819204,0.0130140628092073,0.975652489401214,0.904744483248117
"Attagis","Attagis","mono",0.5,222.5,125,0.0216015389681935,0.0605599143685664,0.356696986668887,4,0.000375155962694245,0.872940429056379,0.22837342973933,0.0929544326828267,0.983366621102503,1.1406853136979
"Arenaria","Arenaria","mono",0.5,108,113,0.0100025291407545,0.0259585924969179,0.385326328534265,2,0.000292014117946772,0.735533870403037,0.115337016533583,0.0262012467766655,0.799050630010009,1.00077862762137
"Limnodromus","Limnodromus","mono",0.666666666666667,105.5,112.5,0.00700173333101684,0.0263602360998316,0.265617246541338,3,0.000225153083967779,0.803133535026028,0.13098158926619,0.0423075043221248,0.615658597652098,0.554795875548365
"Haliaeetus","Haliaeetus","mono",0.285714285714286,1182.5,1467.25,0.00209128294459935,0.0131830878112123,0.158633771886182,14,0.000140133643332425,0.75182340462522,0.033235147426558,0.00511246321808036,0.710857542176571,0.466288808500787
"Onychorhynchus","Onychorhynchus","mono",0.25,18.6,15.1,0.0128416384866133,0.0413806558886542,0.31032950567935,4,0.000443835995877029,0.825495042268819,0.136366856192763,0.0443946550624061,0.95180943668634,0.754446871821518
"Colonia","Colonia","mono",0.115755627009646,25.3478260869565,25.1222222222222,0.0137264278880161,0.05858411615118,0.234302892828393,311,0.000377168324912853,0.846987440556634,0.212372367981172,0.041156434604113,1.00439527455211,1.62668449784347
"Ailuroedus","Ailuroedus","mono",0.666666666666667,NA,NA,0.0125159451508484,0.0290482360068466,0.430867648827226,3,0.000186281709243927,0.75551103553035,0.0547257871141608,0.147747782075793,0.893968976745215,1.49315634593267
"Manorina","Manorina","mono",0.4,50.3,45.1666666666667,0.00190221222109418,0.00251519545389053,0.756288032467545,15,0.000114793605679408,0.753030743736518,0.00668293552845869,0.0030864071713511,0.285559151896983,0.399461881147003
"Melanocharis","Melanocharis","mono",0.6,NA,NA,0.0175662759746088,0.0639295646930603,0.274775466702273,10,0.000583905176254539,0.776985015967535,0.241637101425487,0.0725855269686796,1.02879005531996,0.845965888424759
"Petrochelidon","Petrochelidon","mono",0.333333333333333,972.99,799.78,0.00222036461124526,0.0221123577915512,0.100412838475942,3,6.9078208772919e-05,0.854268119689662,0.0624558393565609,0.00788907826710987,1.28777401114667,0.763259257746723
"Acridotheres","Acridotheres","mono",0.142857142857143,NA,NA,0.00305413229429426,0.0162749958098705,0.187657946580975,7,8.98836147361851e-05,0.836198167763959,0.0729807334788505,0.00630905210394214,0.99340489244684,0.73779734523234
"Plectrophenax","Plectrophenax","mono",0.5,38.7,36,0.00616723203637521,0.0284656980646205,0.21665486728535,2,0.000159735892712401,0.83363906367819,0.223073982721869,0.0317369047887728,1.43191945515225,1.19781867303597
"Pheucticus","Pheucticus","mono",0.333333333333333,44.85,46.9,0.0306091089611064,0.0766111729883799,0.39953844546603,6,0.000127435981119125,0.763634425104025,0.797339354309859,0.404291161866809,1.45835183854436,1.2529234935896
